501,Holtsville,NY,Suffolk,a
544,Holtsville,NY,Suffolk,a
601,Adjuntas,PR,Adjuntas,a
602,Aguada,PR,Aguada,b
603,Aguadilla,PR,Aguadilla,b
604,Aguadilla,PR,Aguadilla,a
605,Aguadilla,PR,Aguadilla,c
606,Maricao,PR,Maricao,c
610,Anasco,PR,Anasco,c
611,Angeles,PR,Utuado,b
612,Arecibo,PR,Arecibo,d
613,Arecibo,PR,Arecibo,d
614,Arecibo,PR,Arecibo,a
616,Bajadero,PR,Arecibo,c
617,Barceloneta,PR,Barceloneta,b
622,Boqueron,PR,Cabo Rojo,d
623,Cabo Rojo,PR,Cabo Rojo,e
624,Penuelas,PR,Penuelas,g
627,Camuy,PR,Camuy,f
631,Castaner,PR,Lares,f
636,Rosario,PR,San German,f
637,Sabana Grande,PR,Sabana Grande,a
638,Ciales,PR,Ciales,a
641,Utuado,PR,Utuado,a
646,Dorado,PR,Dorado,a
647,Ensenada,PR,Guanica,b
650,Florida,PR,Florida,b
652,Garrochales,PR,Arecibo,c
653,Guanica,PR,Guanica,c
656,Guayanilla,PR,Guayanilla,c
